Employee_ID,Emp_Name,Age,Department,Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
EMP1050,Charlie Davis,40,Cloud Tech,New York,Pending,11-11-2021,104767.0469,charlie.davis.emp1050@example.com,3496050165,Excellent,0
EMP1051,David Miller,35,Admin,Nevada,Active,22-02-2022,111051.6719,david.miller.emp1051@example.com,7998407677,Good,0
EMP1052,David Williams,30,Finance,California,Inactive,07-08-2024,105674.1797,david.williams.emp1052@example.com,9973080694,Good,0
EMP1053,Alice Brown,30,Finance,California,Inactive,05-11-2024,54859.44922,alice.brown.emp1053@example.com,8146717956,Average,0
EMP1054,Frank Davis,32,Finance,Nevada,Pending,09-11-2021,115746.6016,frank.davis.emp1054@example.com,6024375737,Excellent,1
EMP1055,Eva Brown,30,Sales,California,Active,10-08-2020,91759.99219,eva.brown.emp1055@example.com,3959724664,Excellent,1
EMP1056,Frank Garcia,40,Sales,Illinois,Active,27-02-2022,112965.3281,frank.garcia.emp1056@example.com,7293417222,Good,0
EMP1057,Alice Smith,40,Cloud Tech,Illinois,Pending,07-11-2023,100360.1016,alice.smith.emp1057@example.com,2971674337,Excellent,0
EMP1058,David Williams,35,Finance,Texas,Pending,07-11-2021,93620.88281,david.williams.emp1058@example.com,NULL,Good,0
EMP1059,Bob Jones,35,Sales,California,Pending,16-04-2022,72832.79688,bob.jones.emp1059@example.com,5619318373,Excellent,1
EMP1060,Charlie Williams,30,Finance,Nevada,Inactive,19-10-2023,102369.4219,charlie.williams.emp1060@example.com,5508428909,Average,1
EMP1061,Eva Davis,40,Sales,Texas,Inactive,10-08-2021,64712.78906,eva.davis.emp1061@example.com,7711991807,Excellent,1
EMP1062,Frank Jones,40,Finance,Florida,Pending,13-03-2021,85782.17969,frank.jones.emp1062@example.com,1213524786,Excellent,1
EMP1063,Charlie Smith,25,HR,Illinois,Pending,20-07-2023,93348.25781,charlie.smith.emp1063@example.com,1255213759,Poor,0
EMP1064,David Davis,35,Admin,New York,Active,20-02-2020,53234.96094,david.davis.emp1064@example.com,3754821455,Good,0
EMP1065,Bob Johnson,40,Finance,Nevada,Pending,02-02-2021,100284.2109,bob.johnson.emp1065@example.com,5328632665,Excellent,0
EMP1066,Grace Brown,30,Admin,Nevada,Pending,12-01-2020,112486.1875,grace.brown.emp1066@example.com,7850720810,Excellent,1
EMP1067,Bob Smith,40,Admin,New York,Pending,26-11-2022,82518.49219,bob.smith.emp1067@example.com,5562606028,Poor,1
EMP1068,Bob Brown,40,Admin,Florida,Pending,23-12-2022,119152.4688,bob.brown.emp1068@example.com,NULL,Poor,1
EMP1069,Heidi Miller,32,DevOps,Illinois,Inactive,28-08-2024,113479.8281,heidi.miller.emp1069@example.com,4892673898,Good,0
EMP1070,Charlie Johnson,40,Finance,California,Active,16-09-2024,94636.29688,charlie.johnson.emp1070@example.com,7563410855,Poor,0
EMP1071,Heidi Johnson,30,HR,Florida,Active,01-01-2024,70000.96875,heidi.johnson.emp1071@example.com,2884318847,Average,1
EMP1072,Frank Smith,32,Cloud Tech,New York,Active,18-04-2021,76812.46875,frank.smith.emp1072@example.com,5200894345,Poor,0
EMP1073,David Johnson,25,Finance,Florida,Inactive,16-01-2023,82614.70313,david.johnson.emp1073@example.com,8105485100,Average,1
EMP1074,Grace Jones,40,Sales,Nevada,Active,20-10-2024,111645.9688,grace.jones.emp1074@example.com,7490753997,Good,1
EMP1075,Heidi Johnson,25,HR,California,Inactive,13-10-2024,112414.9063,heidi.johnson.emp1075@example.com,9354492682,Good,0
EMP1076,David Brown,40,Admin,California,Inactive,21-09-2022,52031.73828,david.brown.emp1076@example.com,1589357125,Good,1
EMP1077,Grace Brown,30,Finance,New York,Pending,29-12-2022,51887.64844,grace.brown.emp1077@example.com,6110627370,Good,0
EMP1078,Alice Davis,25,DevOps,Florida,Active,10-11-2024,82318.89063,alice.davis.emp1078@example.com,5869886496,Good,1
EMP1079,Grace Brown,35,Admin,Florida,Inactive,22-11-2021,103286.0781,grace.brown.emp1079@example.com,6776228276,Average,0
EMP1080,Grace Davis,35,Cloud Tech,Florida,Active,14-03-2024,87759.32813,grace.davis.emp1080@example.com,2881377027,Average,0
EMP1081,Frank Brown,30,DevOps,Texas,Pending,23-03-2020,102796.3203,frank.brown.emp1081@example.com,5196115939,Good,0
EMP1082,David Jones,25,Sales,New York,Active,15-09-2020,83149.27344,david.jones.emp1082@example.com,8215454469,Poor,1
EMP1083,David Garcia,40,DevOps,California,Inactive,09-12-2020,92412.49219,david.garcia.emp1083@example.com,2296044326,Excellent,1
EMP1084,Bob Davis,30,HR,Texas,Pending,22-02-2020,115022.1016,bob.davis.emp1084@example.com,NULL,Good,0
EMP1085,Grace Williams,40,DevOps,New York,Active,27-04-2023,98343.00781,grace.williams.emp1085@example.com,9756792286,Poor,0
EMP1086,Bob Miller,35,DevOps,Illinois,Active,18-06-2024,118869.1016,bob.miller.emp1086@example.com,7725199662,Excellent,1
EMP1087,Frank Smith,32,Finance,Nevada,Inactive,21-05-2020,85417.25781,frank.smith.emp1087@example.com,6580741208,Good,1
EMP1088,Grace Brown,40,Cloud Tech,Florida,Inactive,25-07-2023,112410.25,grace.brown.emp1088@example.com,4818139889,Good,1
EMP1089,Charlie Johnson,40,Admin,Nevada,Pending,25-08-2023,68905.77344,charlie.johnson.emp1089@example.com,9837801819,Average,0
EMP1090,Heidi Garcia,40,Finance,Nevada,Pending,03-07-2021,72561.32031,heidi.garcia.emp1090@example.com,4339718955,Excellent,1
EMP1091,Bob Brown,35,Finance,New York,Inactive,13-03-2023,92723.21875,bob.brown.emp1091@example.com,9070562607,Excellent,1
EMP1092,Alice Johnson,40,HR,New York,Inactive,10-03-2021,74837.75,alice.johnson.emp1092@example.com,5641118241,Poor,0
EMP1093,Eva Miller,32,DevOps,California,Pending,21-01-2020,86163.90625,eva.miller.emp1093@example.com,2412462094,Average,1
EMP1094,David Miller,40,Finance,Illinois,Active,15-11-2023,83326.52344,david.miller.emp1094@example.com,2004615264,Average,1
EMP1095,Heidi Miller,25,Cloud Tech,California,Active,08-04-2022,98425.10156,heidi.miller.emp1095@example.com,4610339936,Average,1
EMP1096,Frank Johnson,40,Sales,Illinois,Inactive,21-05-2022,119764.2031,frank.johnson.emp1096@example.com,8861405785,Average,0
EMP1097,Frank Brown,40,HR,California,Inactive,17-04-2021,58445.91016,frank.brown.emp1097@example.com,1706304890,Excellent,0
EMP1098,Bob Miller,32,DevOps,New York,Active,19-03-2021,101702.3281,bob.miller.emp1098@example.com,3824967182,Excellent,0
EMP1099,Eva Jones,25,Admin,California,Active,09-01-2022,85155.56,eva.jones.emp1099@example.com,2582386869,Good,0
EMP1100,Charlie Davis,35,Cloud Tech,Texas,Pending,21-08-2021,98819.21875,charlie.davis.emp1100@example.com,NULL,Good,0
EMP1101,Heidi Johnson,25,Cloud Tech,Illinois,Inactive,19-08-2022,83509.99219,heidi.johnson.emp1101@example.com,4653984027,Average,0
EMP1102,Alice Johnson,35,Finance,Texas,Active,31-03-2022,84422.25781,alice.johnson.emp1102@example.com,9141612845,Average,0
EMP1103,Alice Brown,30,Admin,Illinois,Inactive,23-06-2020,119574.2734,alice.brown.emp1103@example.com,3985547434,Average,1
EMP1104,Grace Johnson,32,Sales,Illinois,Active,07-05-2024,86580.07813,grace.johnson.emp1104@example.com,5379502096,Good,1
EMP1105,Heidi Johnson,35,Sales,Florida,Inactive,10-03-2023,93471.90625,heidi.johnson.emp1105@example.com,NULL,Poor,0
EMP1106,Bob Miller,30,DevOps,New York,Inactive,14-09-2023,55683.12109,bob.miller.emp1106@example.com,8071569561,Poor,1
EMP1107,Bob Brown,30,Cloud Tech,Florida,Inactive,12-11-2023,91566.78125,bob.brown.emp1107@example.com,NULL,Good,1
EMP1108,David Miller,35,DevOps,California,Pending,26-10-2024,81782.1875,david.miller.emp1108@example.com,5319433749,Good,0
EMP1109,Eva Davis,32,DevOps,New York,Inactive,23-08-2020,88119.36719,eva.davis.emp1109@example.com,4793036148,Good,1
EMP1110,Eva Garcia,30,Cloud Tech,Texas,Active,11-06-2024,71532.82813,eva.garcia.emp1110@example.com,8728399920,Good,1
EMP1111,Eva Davis,40,Cloud Tech,Florida,Pending,14-09-2021,98981.35938,eva.davis.emp1111@example.com,9212493842,Good,1
EMP1112,Heidi Garcia,40,Cloud Tech,Illinois,Active,26-12-2024,80242.00781,heidi.garcia.emp1112@example.com,NULL,Good,1
EMP1113,Eva Miller,25,Cloud Tech,New York,Pending,08-09-2024,110236.1797,eva.miller.emp1113@example.com,6641877579,Average,1
EMP1114,Alice Davis,35,Sales,Texas,Active,21-08-2022,86327.46875,alice.davis.emp1114@example.com,3046875062,Average,0
EMP1115,Eva Brown,30,Sales,Florida,Pending,25-07-2024,84420.8125,eva.brown.emp1115@example.com,5190361331,Average,0
EMP1116,Frank Smith,40,HR,California,Pending,02-08-2020,110041.3203,frank.smith.emp1116@example.com,5411076094,Average,0
EMP1117,Heidi Miller,35,DevOps,Florida,Pending,16-03-2020,81837.8125,heidi.miller.emp1117@example.com,4317350582,Good,1
EMP1118,Frank Garcia,25,Finance,Illinois,Active,08-09-2023,110855.7188,frank.garcia.emp1118@example.com,1997179109,Poor,0
EMP1119,Alice Jones,30,Sales,California,Pending,29-03-2024,84894.52344,alice.jones.emp1119@example.com,NULL,Excellent,1
EMP1120,Alice Garcia,30,HR,Illinois,Active,12-08-2021,80668.13281,alice.garcia.emp1120@example.com,6110804660,Good,1
EMP1121,Bob Jones,25,DevOps,Illinois,Active,24-12-2023,61086.46875,bob.jones.emp1121@example.com,9639907675,Excellent,1
EMP1122,Grace Johnson,25,Admin,Texas,Inactive,28-08-2020,95339.67969,grace.johnson.emp1122@example.com,9915078592,Poor,1
EMP1123,Eva Davis,32,DevOps,California,Inactive,05-09-2024,83774.96875,eva.davis.emp1123@example.com,1109193927,Average,0
EMP1124,Heidi Jones,32,Admin,Florida,Active,12-05-2023,85576.85938,heidi.jones.emp1124@example.com,4567972319,Poor,0
EMP1125,Bob Garcia,35,Finance,California,Pending,01-07-2021,107438.4609,bob.garcia.emp1125@example.com,NULL,Good,1
EMP1126,Eva Johnson,32,Sales,Nevada,Inactive,07-11-2024,60401.67969,eva.johnson.emp1126@example.com,2274954507,Average,0
EMP1127,Frank Smith,35,Sales,Illinois,Inactive,21-07-2022,115299.6563,frank.smith.emp1127@example.com,9203880652,Good,1
EMP1128,David Brown,32,Finance,New York,Inactive,30-03-2020,72272.34375,david.brown.emp1128@example.com,3315377958,Average,0
EMP1129,Grace Brown,40,DevOps,Nevada,Active,11-10-2022,117537.7109,grace.brown.emp1129@example.com,9594652169,Excellent,0
EMP1130,Frank Brown,25,Finance,Texas,Pending,24-07-2022,51074.32813,frank.brown.emp1130@example.com,7303379336,Excellent,1
EMP1131,Charlie Jones,25,Finance,California,Inactive,30-06-2023,98489.32031,charlie.jones.emp1131@example.com,5636205014,Excellent,0
EMP1132,Frank Smith,32,Finance,California,Pending,11-01-2024,112120.7109,frank.smith.emp1132@example.com,NULL,Poor,1
EMP1133,Alice Jones,32,Cloud Tech,New York,Pending,02-11-2023,114465.0391,alice.jones.emp1133@example.com,NULL,Good,0
EMP1134,Bob Davis,40,Cloud Tech,Nevada,Pending,22-11-2024,57035.51172,bob.davis.emp1134@example.com,3230241025,Poor,1
EMP1135,Eva Jones,25,Cloud Tech,California,Active,23-08-2021,75092.42969,eva.jones.emp1135@example.com,1534735527,Excellent,1
EMP1136,David Smith,32,Finance,Illinois,Pending,11-06-2024,62603.98047,david.smith.emp1136@example.com,9611223385,Good,0
EMP1137,Grace Smith,32,DevOps,New York,Inactive,09-04-2023,60018.23828,grace.smith.emp1137@example.com,5596309937,Excellent,0
EMP1138,Eva Davis,40,HR,Nevada,Active,05-07-2024,82567.72656,eva.davis.emp1138@example.com,4253042896,Poor,1
EMP1139,Charlie Smith,25,Finance,California,Pending,04-09-2021,94725.71094,charlie.smith.emp1139@example.com,3179128684,Poor,0
EMP1140,Eva Garcia,40,HR,New York,Inactive,13-10-2024,83824.5625,eva.garcia.emp1140@example.com,7872558776,Poor,0
EMP1141,Frank Smith,32,HR,Nevada,Inactive,14-02-2020,118456.1094,frank.smith.emp1141@example.com,4969033372,Excellent,1
EMP1142,Eva Brown,25,Sales,Nevada,Pending,10-04-2020,113743.1875,eva.brown.emp1142@example.com,6346692547,Good,1
EMP1143,Eva Garcia,30,Sales,California,Active,27-07-2023,63309.23828,eva.garcia.emp1143@example.com,1214785389,Good,0
EMP1144,Charlie Garcia,25,DevOps,Nevada,Active,24-09-2021,105202.7266,charlie.garcia.emp1144@example.com,7895677664,Excellent,1
EMP1145,Frank Davis,30,Cloud Tech,California,Inactive,10-03-2024,79085.21875,frank.davis.emp1145@example.com,7546027340,Good,1
EMP1146,Frank Williams,32,Sales,California,Active,10-06-2021,113983.4297,frank.williams.emp1146@example.com,5148881430,Excellent,1
EMP1147,Eva Williams,35,Cloud Tech,Florida,Active,15-10-2020,102790.6016,eva.williams.emp1147@example.com,1150835353,Good,0
EMP1148,Grace Smith,32,HR,Texas,Inactive,29-01-2020,68512.10156,grace.smith.emp1148@example.com,4439284043,Average,0
EMP1149,Frank Garcia,35,Sales,Florida,Pending,30-01-2022,57584.23047,frank.garcia.emp1149@example.com,5669078262,Average,1
EMP1150,Alice Williams,32,Sales,California,Pending,29-03-2021,95335.67188,alice.williams.emp1150@example.com,3373898774,Poor,0
EMP1151,Heidi Williams,35,DevOps,Florida,Active,13-10-2020,53174.28125,heidi.williams.emp1151@example.com,1536637779,Average,1
EMP1152,Heidi Smith,25,Cloud Tech,New York,Pending,04-10-2020,77205.21094,heidi.smith.emp1152@example.com,5292407552,Average,0
EMP1153,Grace Williams,32,DevOps,Nevada,Active,18-12-2024,79041.92188,grace.williams.emp1153@example.com,6668459089,Average,1
EMP1154,Heidi Jones,32,Finance,California,Active,14-11-2023,75937.10156,heidi.jones.emp1154@example.com,2259999662,Excellent,1
EMP1155,David Johnson,35,Cloud Tech,Nevada,Inactive,20-01-2023,113118.7266,david.johnson.emp1155@example.com,6186371596,Average,0
EMP1156,Alice Davis,40,HR,New York,Active,02-10-2024,107693.3828,alice.davis.emp1156@example.com,4121820969,Average,1
EMP1157,David Johnson,32,Cloud Tech,Texas,Inactive,13-05-2021,119217.4609,david.johnson.emp1157@example.com,2316433480,Poor,0
EMP1158,David Smith,25,Sales,New York,Pending,18-03-2021,106913.7109,david.smith.emp1158@example.com,7058025661,Average,0
EMP1159,Charlie Brown,32,Cloud Tech,California,Active,23-09-2020,87815.07813,charlie.brown.emp1159@example.com,1286716322,Average,1
EMP1160,Bob Davis,25,Admin,Texas,Inactive,05-06-2024,105190.2109,bob.davis.emp1160@example.com,4672994937,Good,1
EMP1161,Alice Smith,30,HR,Texas,Active,28-02-2024,79467.24219,alice.smith.emp1161@example.com,7430271692,Poor,0
EMP1162,Bob Garcia,40,Finance,California,Pending,30-04-2023,57633.78125,bob.garcia.emp1162@example.com,8597779013,Poor,1
EMP1163,Alice Brown,32,HR,Florida,Pending,04-03-2020,54257.78125,alice.brown.emp1163@example.com,7546926328,Poor,1
EMP1164,Grace Johnson,40,DevOps,Texas,Inactive,29-12-2023,113679.0625,grace.johnson.emp1164@example.com,6762916031,Poor,1
EMP1165,Bob Smith,35,Sales,New York,Active,15-09-2020,69251.11719,bob.smith.emp1165@example.com,4841376814,Poor,1
EMP1166,Frank Garcia,40,Sales,Illinois,Inactive,18-07-2022,85388.57813,frank.garcia.emp1166@example.com,1185672437,Poor,1
EMP1167,Bob Davis,32,DevOps,New York,Inactive,13-07-2022,112166.3672,bob.davis.emp1167@example.com,NULL,Excellent,0
EMP1168,Heidi Davis,40,Finance,Nevada,Active,02-10-2021,79873.47656,heidi.davis.emp1168@example.com,NULL,Average,0
EMP1169,Frank Miller,30,DevOps,Florida,Active,05-07-2020,108224.0313,frank.miller.emp1169@example.com,1837274219,Poor,1
EMP1170,Bob Garcia,35,Admin,Illinois,Active,16-04-2023,116963.7188,bob.garcia.emp1170@example.com,9124186209,Average,1
EMP1171,Bob Jones,40,HR,Nevada,Inactive,12-11-2024,114109.0625,bob.jones.emp1171@example.com,4275230836,Average,1
EMP1172,Eva Williams,32,HR,California,Active,29-03-2023,85518.88281,eva.williams.emp1172@example.com,NULL,Excellent,0
EMP1173,Heidi Brown,30,Cloud Tech,California,Pending,22-01-2022,58041.96875,heidi.brown.emp1173@example.com,6335331059,Poor,1
EMP1174,David Garcia,40,Sales,Illinois,Pending,14-10-2023,94988.9375,david.garcia.emp1174@example.com,NULL,Good,0
EMP1175,Eva Miller,25,Admin,California,Pending,10-04-2024,71628.92969,eva.miller.emp1175@example.com,8155839385,Excellent,0
EMP1176,Alice Williams,30,Admin,Illinois,Pending,31-03-2022,54870.98047,alice.williams.emp1176@example.com,6133155205,Good,0
EMP1177,Alice Williams,25,DevOps,Illinois,Active,09-02-2022,79388.27344,alice.williams.emp1177@example.com,5063731494,Average,1
EMP1178,Frank Smith,35,DevOps,California,Pending,06-05-2023,55946.98828,frank.smith.emp1178@example.com,NULL,Average,0
EMP1179,Charlie Williams,32,Cloud Tech,Nevada,Active,11-07-2021,81017.90625,charlie.williams.emp1179@example.com,2419562524,Excellent,1
EMP1180,Heidi Jones,40,HR,New York,Pending,21-08-2020,74162.10156,heidi.jones.emp1180@example.com,7150997682,Excellent,0
EMP1181,Heidi Davis,32,DevOps,California,Active,27-03-2021,77668.4375,heidi.davis.emp1181@example.com,8903091435,Good,1
EMP1182,Alice Miller,30,HR,New York,Active,14-04-2024,67886.36719,alice.miller.emp1182@example.com,3910257431,Poor,0
EMP1183,Alice Williams,40,DevOps,Florida,Active,21-09-2020,76614.52344,alice.williams.emp1183@example.com,6303975244,Good,1
EMP1184,Frank Smith,25,Finance,Nevada,Active,12-06-2022,51311.91016,frank.smith.emp1184@example.com,NULL,Excellent,0
EMP1185,Frank Jones,32,Finance,Illinois,Inactive,24-12-2023,94809.92188,frank.jones.emp1185@example.com,8033968526,Good,1
EMP1186,Grace Johnson,25,HR,New York,Pending,31-07-2022,108241.8125,grace.johnson.emp1186@example.com,NULL,Excellent,1
EMP1187,Bob Davis,40,Cloud Tech,New York,Inactive,21-04-2023,78031.49219,bob.davis.emp1187@example.com,2983381673,Good,1
EMP1188,Eva Davis,35,Admin,California,Active,05-06-2020,85733.82813,eva.davis.emp1188@example.com,2336293448,Excellent,1
EMP1189,David Miller,35,HR,Nevada,Pending,27-07-2024,60338.28906,david.miller.emp1189@example.com,7347156626,Excellent,0
EMP1190,Eva Davis,30,Admin,Illinois,Active,05-04-2024,103140.6719,eva.davis.emp1190@example.com,7689627065,Excellent,0
EMP1191,Heidi Williams,40,Sales,Illinois,Inactive,26-10-2023,114690.7969,heidi.williams.emp1191@example.com,1498282466,Poor,1
EMP1192,Frank Smith,35,Admin,Florida,Active,18-08-2022,80954.5625,frank.smith.emp1192@example.com,4746897151,Good,0
EMP1193,Eva Davis,32,Cloud Tech,California,Pending,31-05-2020,71728.54688,eva.davis.emp1193@example.com,7323008575,Good,1
EMP1194,Alice Davis,35,HR,Texas,Pending,04-11-2024,118415.7969,alice.davis.emp1194@example.com,6656749159,Good,1
EMP1195,Grace Johnson,40,Sales,Illinois,Pending,25-03-2020,81481.35938,grace.johnson.emp1195@example.com,1692364586,Excellent,0
EMP1196,David Johnson,35,Sales,Florida,Pending,04-11-2020,117040.5703,david.johnson.emp1196@example.com,5066337049,Good,1
EMP1197,Frank Brown,25,Sales,Nevada,Active,21-03-2020,67342.0625,frank.brown.emp1197@example.com,2497243991,Good,1
EMP1198,Heidi Jones,32,Sales,Illinois,Active,15-01-2022,76099.64063,heidi.jones.emp1198@example.com,NULL,Excellent,0
EMP1199,Grace Williams,35,DevOps,Illinois,Active,04-06-2024,94162.0625,grace.williams.emp1199@example.com,2644886945,Average,1
EMP1200,Frank Davis,25,Sales,Nevada,Inactive,04-08-2021,67639.70313,frank.davis.emp1200@example.com,1195243639,Excellent,1
EMP1201,Charlie Garcia,35,Cloud Tech,Illinois,Pending,16-10-2020,114172.25,charlie.garcia.emp1201@example.com,2701168645,Good,1
EMP1202,Grace Davis,30,Sales,Nevada,Active,26-09-2021,89124.53906,grace.davis.emp1202@example.com,2252237280,Excellent,1
EMP1203,Frank Smith,30,DevOps,Nevada,Pending,04-11-2023,113871.3594,frank.smith.emp1203@example.com,7932302345,Average,0
EMP1204,Grace Brown,32,HR,Texas,Inactive,24-09-2021,62618.39844,grace.brown.emp1204@example.com,7912141613,Excellent,0
EMP1205,Heidi Jones,30,Admin,New York,Active,07-06-2020,70705.45313,heidi.jones.emp1205@example.com,1509377099,Good,0
EMP1206,Alice Garcia,35,Sales,New York,Pending,10-02-2022,60797.69141,alice.garcia.emp1206@example.com,4090138068,Average,1
EMP1207,Charlie Brown,40,Cloud Tech,Florida,Inactive,17-10-2023,100371,charlie.brown.emp1207@example.com,8477596554,Poor,1
